word_id,frequency_daily,frequency_IT,frequency_technical_engineering,frequency_ranking_position
132,4,5,7,2486
133,6,7,8,6201
134,6,7,8,791
135,5,6,8,2544
136,7,8,9,979
137,6,7,8,3513
138,5,6,8,2901
139,4,5,8,3171
140,8,6,6,1607
141,4,6,8,1303
142,8,9,9,1194
143,4,5,7,1816
144,6,7,8,1696
145,6,7,8,3841
146,4,5,7,3554
147,5,6,8,2111
148,8,9,9,71
149,6,7,8,811
150,5,6,8,21717
151,5,6,8,18126
152,3,4,7,16043
153,4,5,8,5233
154,6,8,9,2237
155,4,5,7,4903
156,5,6,8,3452
157,7,8,9,707
158,3,4,6,2951
159,2,3,5,31425
160,4,5,7,2687
161,6,7,8,2037
162,8,9,7,205
163,6,7,8,684
164,6,7,9,1047
165,4,5,7,2317
166,5,6,8,6156
167,3,4,6,1417
168,3,4,6,4297
169,7,8,8,3233
170,6,7,8,3232
171,4,5,7,2963
172,5,6,8,2442
173,4,5,7,4357
174,5,6,8,1746
175,3,4,6,4067
176,6,7,9,1377
177,2,3,5,2916
178,9,9,9,1053
179,4,5,7,4198
180,2,3,6,2698
181,8,9,6,472
182,3,4,6,3466
183,5,6,8,2339
184,3,4,6,3441
185,2,3,5,8229
186,7,8,9,1626
187,4,5,7,2883
188,2,3,6,30682
189,5,6,8,4225
190,2,3,6,34583
191,6,7,9,1997
192,4,5,7,10772
193,3,4,6,6013
194,4,6,9,10767
195,6,7,8,3001
196,2,3,3,17263
197,4,5,8,6776
198,2,3,6,8677
199,3,4,6,5966
200,4,6,8,432
201,2,4,3,19334
202,7,5,6,1046
203,5,5,5,1824
204,7,8,9,2317
205,1,1,1,18257
206,6,8,9,5806
207,8,7,6,1446
208,9,9,8,189
209,3,2,2,3561
210,3,2,1,4142
211,5,4,6,4513
212,5,4,4,1238
213,4,3,4,2017
214,6,6,7,1867
215,3,2,2,6825
216,4,3,3,3746
217,2,1,2,5705
218,7,5,6,2871
219,3,2,2,6924
220,5,4,5,3646
221,6,6,7,2673
222,6,5,6,1716
223,4,3,4,2571
224,8,7,8,1889
225,5,5,6,3305
226,3,6,8,4033
227,4,6,8,3083
228,4,3,4,2089
229,2,1,1,5886
230,6,4,5,4378
231,5,3,4,2813
232,6,7,8,1016
233,3,2,5,13382
234,2,1,1,18859
235,7,6,6,654
236,2,1,1,10357
237,4,3,3,7927
238,5,4,6,5625
239,3,2,2,5414
240,5,4,6,2123
241,3,2,4,12674
242,4,3,5,7139
243,5,4,6,7221
244,6,5,7,6772
245,5,4,5,5556
246,6,5,7,5942
247,6,5,6,104
248,3,2,4,3387
249,7,5,6,861
250,7,6,8,3134
251,4,3,4,10106
252,4,5,7,7251
253,5,5,6,3541
254,7,6,8,1195
255,6,5,6,3157
256,5,4,4,5184
257,4,3,4,6153
258,7,6,7,1862
259,5,4,5,5426
260,3,2,3,5139
261,6,5,6,2827
262,3,2,3,11010
263,5,4,5,3817
264,5,4,6,4398
265,4,3,4,10295
266,6,5,5,4549
267,5,4,6,1748
268,2,1,2,14513
269,2,1,2,8162
270,5,4,7,7064
271,2,1,1,17885
272,2,1,3,10995
273,5,4,6,4852
274,5,4,5,3516
275,4,3,4,4293
276,3,2,3,4198
277,6,5,7,5854
278,5,6,7,3815
279,4,3,4,3045
280,2,1,2,12342
281,3,2,3,10113
282,2,1,2,12011
283,3,2,3,6987
284,6,5,6,2904
285,4,3,4,6727
286,3,2,3,9063
287,4,3,4,6142
288,4,3,4,5244
289,4,5,5,10229
290,3,2,3,11054
291,5,4,5,3906
292,4,3,4,4524
293,3,2,3,16687
294,5,4,5,3611
295,4,3,4,6375
296,3,2,3,14397
297,5,4,5,3153
298,4,3,4,8723
299,4,3,4,6356
300,7,8,8,731
301,6,5,6,3339
302,5,4,5,4492
303,6,5,6,3416
304,3,2,3,4355
305,5,4,5,6875
306,6,5,6,7037
307,6,7,7,7084
308,6,5,6,6227
309,7,8,7,3034
310,5,4,5,9287
311,3,2,3,12122
312,5,4,5,4354
313,3,2,3,11724
314,1,1,1,
315,2,4,3,12759
316,6,5,6,4808
317,7,8,7,2829
318,4,3,4,10184
319,6,5,6,5413
320,5,6,7,4103
321,6,5,6,4312
322,6,5,6,3599
323,5,4,5,3818
324,5,4,5,7672
325,1,1,2,
326,7,9,8,6395
327,7,8,9,2668
328,6,5,6,4415
329,4,6,7,6175
330,6,5,7,6599
331,5,6,7,5671
332,7,8,8,1102
333,5,6,7,7607
334,5,6,7,8914
335,6,5,6,7112
336,4,3,3,
337,5,4,4,6525
338,6,4,4,5393
339,6,5,6,3917
340,7,6,7,2316
341,7,6,7,4711
342,8,8,8,1417
343,6,5,6,5985
344,7,4,8,5985
345,5,5,5,
346,3,3,4,13709
347,5,5,6,3838
348,3,3,4,5689
349,5,4,4,6177
350,4,4,4,7585
351,4,3,3,6899
352,4,4,4,10739
353,4,4,5,10735
354,4,4,5,4949
355,3,3,4,11897
356,4,4,4,6237
357,4,4,4,9805
358,4,4,4,6203
359,4,4,4,3045
360,7,7,7,2749
361,3,3,3,12142
362,7,7,7,4654
363,6,6,5,7166
364,8,8,9,2051
365,5,5,6,8359
366,6,7,8,4752
367,9,9,10,3285
368,6,6,6,10517
369,5,5,6,13119
370,4,4,4,12624
371,4,4,4,12256
372,5,5,5,12946
373,3,3,3,
374,4,4,4,
375,5,5,6,13022
376,4,6,8,8795
377,3,4,6,10626
378,2,2,3,
379,4,4,4,10612
380,4,4,5,
381,5,5,6,7594
382,3,3,4,11553
383,7,6,6,3796
384,6,6,6,5516
385,4,4,5,12062
386,3,3,3,11894
387,6,6,7,8034
388,6,5,4,5244
389,2,2,2,
390,8,7,8,2387
391,5,5,5,11703
392,6,9,9,4278
393,6,6,7,6327
394,5,4,7,11934
395,5,4,8,11710
396,5,3,5,11231
397,9,5,7,4267
398,9,6,8,9048
399,3,9,9,11760
400,4,6,8,12299
401,3,8,5,2142
402,7,9,8,1281
403,2,3,3,5977
404,4,6,7,2238
405,2,3,3,47045
406,1,1,1,1336
407,5,4,4,5419
408,3,2,2,11077
409,3,2,5,3467
410,6,5,7,606
411,2,3,3,3314
412,5,6,6,5389
413,3,3,3,5903
414,4,3,3,4848
415,1,3,8,72203
416,4,6,9,10272
417,3,4,6,1741
418,2,1,3,7747
419,6,7,8,835
420,4,5,7,854
421,5,6,6,5495
422,6,7,8,2212
423,5,6,7,10790
424,3,4,5,2068
425,7,8,8,1159
426,4,5,6,2562
427,1,3,2,3935
428,2,4,7,5267
429,2,3,8,13536
430,2,3,8,11639
431,6,7,8,3036
432,4,5,6,26967
433,1,2,3,9867
434,5,7,8,6339
435,2,3,5,3646
436,1,2,2,6185
437,7,7,8,298
438,6,8,8,648
439,7,7,8,432
440,2,5,7,20222
441,4,5,7,5237
442,5,6,7,5162
443,1,2,6,17119
444,7,8,8,313
445,8,8,8,2166
446,2,5,7,5542
447,4,5,6,3417
448,2,4,6,3186
449,5,6,7,3443
450,3,4,6,2834
451,2,3,5,8627
452,3,5,7,5129
453,4,5,6,4823
454,2,3,5,10137
455,2,4,7,5161
456,2,4,7,6531
457,4,5,6,2371
458,2,3,5,7333
459,3,5,6,7584
460,5,6,7,192
461,2,3,6,8129
462,5,6,7,3242
463,3,4,6,7237
464,3,4,6,13619
465,4,5,7,4584
466,2,4,7,8361
467,2,3,6,10407
468,1,2,5,13699
469,2,3,5,8516
470,4,6,8,2467
471,3,5,7,4393
472,2,3,5,13684
473,4,5,6,4242
474,2,3,5,7017
475,4,5,7,3839
476,4,5,7,4901
477,2,3,5,9094
478,3,4,6,8265
479,2,3,5,10849
480,3,4,6,4918
481,2,4,7,5943
482,2,3,5,9084
483,2,3,6,17035
484,3,4,7,10756
485,2,3,6,11508
486,2,3,6,6309
487,4,5,7,3645
488,2,4,6,9016
489,2,3,5,9055
490,4,5,7,4159
491,4,5,7,6096
492,2,3,6,3667
493,2,4,7,15063
494,3,4,6,8744
495,2,3,5,8984
496,3,4,6,6424
497,4,5,7,3003
498,4,5,7,1682
499,3,4,6,6016
500,3,4,6,8962
501,2,3,4,17524
502,3,4,6,6024
503,3,4,6,6011
504,4,5,7,6385
505,2,3,5,10339
506,4,5,7,3969
507,3,4,6,7413
508,3,4,6,4661
509,2,3,5,10691
510,3,4,6,9294
511,3,4,6,15375
512,3,4,6,7006
513,5,6,8,3869
514,3,4,6,10011
515,3,4,6,12895
516,4,5,7,6576
517,6,7,8,4373
518,6,7,9,3396
519,3,4,6,12026
520,4,5,7,8659
521,4,5,7,10612
522,4,5,7,6724
523,4,5,7,7875
524,6,7,9,3282
525,4,5,7,9265
526,3,4,6,8101
527,6,7,9,2501
528,2,3,5,14251
529,3,4,6,14272
530,3,4,6,9164
531,6,7,9,2450
532,4,5,7,10111
533,8,9,9,2210
534,2,3,7,16300
535,4,4,8,8768
536,2,2,7,16053
537,2,2,8,12501
538,3,3,5,14351
539,4,6,9,4438
540,2,4,8,11190
541,3,4,6,11324
542,1,2,5,15283
543,4,4,7,7198
544,8,9,7,2913
545,5,6,4,16203
546,3,4,6,7355
547,4,5,4,13721
548,6,8,7,3289
549,3,5,6,11813
550,2,4,8,8741
551,4,3,4,10712
552,7,9,9,4758
553,2,8,9,8332
554,2,5,5,13836
555,4,8,9,3449
556,3,5,5,7541
557,3,5,6,6573
558,4,7,7,4593
559,3,6,7,10317
560,2,4,5,11485
561,4,8,9,5366
562,4,6,7,8797
563,6,8,7,12452
564,8,9,7,6312
565,7,9,8,6543
566,5,7,7,9235
567,6,8,7,6843
568,4,6,5,7786
569,4,8,9,16644
570,6,7,8,4836
571,3,5,6,12290
572,5,4,5,7922
573,5,6,7,8027
574,4,3,6,5833
575,6,7,8,2721
576,6,5,5,2792
577,3,4,5,11224
578,6,7,5,16523
579,5,10,9,13130
580,5,6,5,8588
581,4,5,4,2734
582,6,6,5,10013
583,4,5,4,9684
584,6,8,7,6145
585,6,6,6,9918
586,4,4,4,7473
587,5,5,5,6912
588,5,6,5,10321
589,5,6,5,9012
590,6,8,8,3381
591,8,7,4,11749
592,7,6,4,10523
593,6,5,3,10884
594,7,6,4,6835
595,8,9,7,6727
596,6,5,4,7201
597,5,6,7,10607
598,7,6,5,6705
599,8,7,5,10137
600,6,9,9,244
601,5,3,2,3133
602,4,8,9,1028
603,7,9,8,203
604,5,4,6,580
605,3,7,6,748
606,4,4,8,1332
607,6,5,7,1495
608,6,7,8,725
609,3,5,7,4234
610,4,4,4,2214
611,7,4,6,1544
612,3,3,9,2264
613,6,6,6,1882
614,3,3,5,3155
615,4,2,3,3248
616,4,3,8,1418
617,2,2,2,3278
618,4,4,5,2558
619,5,6,7,2229
620,2,3,4,3467
621,4,3,3,2394
622,2,2,3,2514
623,6,3,4,4011
624,3,3,4,2852
625,5,6,7,1894
626,3,2,3,3383
627,5,4,4,1356
628,5,3,6,172
629,5,4,5,3751
630,3,4,5,2128
631,4,3,4,1146
632,5,4,6,1033
633,5,6,8,1837
634,6,7,8,695
635,3,3,3,2294
636,4,4,4,4017
637,4,5,6,726
638,6,7,8,615
639,5,4,6,1067
640,3,4,5,1943
641,4,3,3,1943
642,4,6,7,1707
643,4,4,5,2903
644,5,5,6,864
645,4,3,4,3216
646,5,6,7,2955
647,4,4,5,410
648,5,5,6,877
649,3,4,5,1614
650,5,5,7,1608
651,4,4,5,1872
652,3,3,4,3047
653,4,4,5,2473
654,4,5,6,1728
655,4,3,4,3306
656,4,4,5,1239
657,6,7,8,594
658,4,3,4,1629
659,4,7,9,3502
660,5,5,6,712
661,4,4,5,1375
662,3,3,4,2635
663,4,4,5,1426
664,4,3,4,2079
665,4,4,5,2811
666,3,3,4,2479
667,4,4,5,3129
668,6,7,8,736
669,5,6,7,1703
670,4,5,6,1323
671,4,4,5,1076
672,3,3,4,1551
673,4,4,5,1701
674,4,4,5,1937
675,3,3,4,2224
676,3,3,4,2068
677,3,3,3,3138
678,4,4,5,2843
679,3,3,4,2535
680,5,5,6,1606
681,4,4,5,1231
682,4,4,5,1514
683,4,5,6,662
684,3,3,4,2988
685,2,3,4,3441
686,3,3,4,1185
687,3,4,5,3292
688,3,3,4,2239
689,3,4,5,3439
690,4,5,6,1781
691,4,4,5,646
692,3,4,5,2148
693,4,5,6,1538
694,3,4,5,1189
695,3,4,5,3091
696,3,4,5,2622
697,4,5,6,966
698,4,4,5,1246
699,3,4,5,1951
700,2,4,6,3442
701,3,5,6,2901
702,3,4,5,3011
703,3,4,5,3141
704,2,3,4,3434
705,6,7,8,2725
706,4,6,6,1954
707,8,9,9,784
708,3,6,6,919
709,2,5,6,2542
710,5,8,9,1006
711,7,9,10,1001
712,6,9,9,1717
713,2,4,6,2441
714,4,6,6,3023
715,1,3,4,3443
716,7,9,10,613
717,5,8,7,2638
718,7,9,8,2678
719,5,9,7,3444
720,6,8,8,1915
721,4,6,6,3266
722,6,7,7,1899
723,7,9,8,637
724,4,8,9,3445
725,4,7,8,3446
726,4,7,8,3447
727,3,6,7,3448
728,6,9,8,1395
729,2,5,9,3449
730,3,8,9,1407
731,2,4,7,3450
732,1,6,9,3451
733,1,4,7,3452
734,4,8,9,3453
735,3,6,8,2249
736,4,7,8,2335
737,3,8,9,3454
738,2,7,8,3455
739,4,6,7,3456
740,5,7,8,1403
741,2,8,9,3457
742,6,8,9,2072
743,4,7,8,3086
744,4,6,8,1415
745,2,8,9,3458
746,6,8,8,2594
747,6,8,9,3459
748,8,8,9,1696
749,3,9,10,3460
750,1,3,7,3461
751,6,9,10,1508
752,4,7,9,3462
753,5,8,9,3463
754,5,7,8,3464
755,3,7,9,3465
756,6,9,10,3466
757,6,8,9,2048
758,5,8,9,1501
759,2,6,9,3467
760,2,8,10,3468
761,3,6,9,3469
762,4,7,8,1475
763,4,8,9,3470
764,2,6,8,3471
765,5,7,9,3472
766,6,8,9,3473
767,2,6,8,3474
768,6,8,9,1014
769,5,7,9,3475
770,3,7,8,3476
771,5,8,9,1158
772,2,6,8,3477
773,3,5,8,3478
774,4,6,9,3479
775,6,8,9,1242
776,5,8,9,3480
777,5,7,8,1389
778,4,7,9,3481
779,2,6,9,3482
780,3,6,9,3483
781,5,8,9,3484
782,5,8,9,2042
783,2,6,9,3485
784,5,8,9,2114
785,6,8,9,1091
786,5,8,9,1237
787,4,7,9,3486
788,3,7,9,3487
789,3,7,9,3488
790,6,8,9,1238
791,6,8,9,1035
792,3,6,9,3489
793,5,8,9,1863
794,2,6,8,3490
795,3,7,9,3491
796,4,7,9,3492
797,3,7,9,3493
798,2,6,9,3494
799,6,8,9,1523
800,3,7,9,3495
801,4,7,9,454
802,5,8,9,636
803,2,5,7,2158
804,2,6,9,5131
805,2,7,9,14996
806,2,7,9,3123
807,2,7,9,3472
808,5,8,9,825
809,4,8,9,3460
810,3,7,9,5578
811,3,6,8,2095
812,4,7,9,2465
813,5,8,9,1385
814,2,7,9,6845
815,3,7,9,1316
816,2,7,9,18162
817,3,7,9,2959
818,3,7,9,2894
819,3,6,7,3918
820,6,8,9,1073
821,3,6,8,2236
822,4,7,9,864
823,4,7,8,5092
824,3,7,9,3149
825,4,8,9,3276
826,2,4,5,9153
827,3,4,6,5887
828,4,6,7,3112
829,3,6,8,2733
830,3,6,8,2474
831,3,6,8,3661
832,4,7,8,1789
833,2,8,9,18004
834,2,8,9,33865
835,3,7,9,6551
836,2,7,9,9104
837,2,8,9,10567
838,2,7,9,8306
839,3,7,9,5390
840,2,7,9,18439
841,2,8,9,4862
842,1,10,10,13041
843,2,7,9,4998
844,2,7,9,5633
845,2,7,9,14797
846,2,7,9,3962
847,2,8,9,6188
848,2,7,9,4739
849,2,7,9,8437
850,3,8,9,2434
851,2,8,9,9671
852,2,7,9,6427
853,3,7,9,2868
854,3,8,9,1211
855,3,7,9,1568
856,3,7,9,2467
857,3,7,9,2007
858,3,8,9,4971
859,2,7,8,13883
860,2,8,9,18059
861,2,7,8,5056
862,2,7,8,9847
863,2,7,8,6215
864,8,10,7,364
865,3,7,6,5786
866,6,8,9,3314
867,2,9,10,20466
868,5,9,8,8188
869,9,10,10,6146
870,6,8,9,8096
871,7,9,10,2056
872,8,9,9,6897
873,4,7,8,2024
874,7,9,8,990
875,6,8,9,3582
876,7,8,9,3637
877,5,9,10,17436
878,8,9,9,1155
879,6,8,8,2298
880,5,7,9,9896
881,5,7,8,10087
882,7,8,9,2156
883,6,8,10,2824
884,6,8,9,10401
885,7,8,9,5726
886,5,7,9,12914
887,6,8,9,9473
888,4,8,10,11035
889,7,8,9,1637
890,5,7,9,6265
891,6,8,9,8388
892,7,9,8,3245
893,6,8,9,4674
894,5,7,9,11077
895,5,7,9,6788
896,3,7,10,22259
897,6,8,9,5187
898,7,9,9,2713
899,4,6,8,13826
900,7,8,9,1716
901,8,9,9,247
902,6,8,9,2776
903,3,5,7,8808
904,3,5,8,13784
905,4,6,8,8533
906,5,7,8,8784
907,6,8,9,3807
908,5,7,9,6389
909,6,8,9,1781
910,6,8,9,3121
911,4,6,9,9024
912,3,5,9,7524
913,2,6,9,14708
914,3,6,9,18075
915,5,7,9,4498
916,8,9,10,1984
917,4,6,9,11645
918,2,5,8,12171
919,2,5,9,18538
920,3,5,9,9003
921,2,5,8,11827
922,2,5,8,12432
923,2,4,8,17465
924,6,8,9,1519
925,4,7,9,6595
926,5,7,9,4285
927,2,5,8,12838
928,3,6,8,4967
929,5,7,9,4429
930,4,6,9,5665
931,2,5,8,8263
932,2,6,9,11222
933,6,7,9,1368
934,4,6,9,1419
935,4,6,9,4817
936,5,7,9,5302
937,2,5,8,16984
938,2,4,7,21523
939,4,6,9,20675
940,3,5,8,19592
941,2,4,7,19895
942,3,5,8,4623
943,4,7,9,4471
944,3,6,9,11872
945,2,5,9,107
946,2,4,7,10717
947,4,6,9,11370
948,3,5,8,11632
949,2,5,8,14297
950,3,5,7,20267
951,2,4,7,18761
952,3,5,8,6225
953,2,4,7,19150
954,3,6,9,13903
955,3,5,8,4623
956,3,6,9,12383
957,4,7,9,4656
958,3,5,8,5324
959,4,7,9,5271
960,3,6,9,7293
961,2,3,6,23592
962,3,5,8,8626
963,2,4,7,23717
964,3,5,7,16300
965,4,8,9,16442
966,4,6,8,1183
967,4,7,9,8367
968,3,5,8,7746
969,3,5,8,10267
970,4,7,9,13148
971,3,5,8,14269
972,3,6,9,13745
973,4,7,9,9389
974,4,8,9,8215
975,3,5,8,11230
976,3,5,8,9478
977,3,6,9,15655
978,3,5,8,9249
979,4,7,9,4927
980,3,5,8,5592
981,3,5,8,11297
982,3,5,8,20353
983,4,7,9,5376
984,4,6,8,12209
985,3,5,7,15951
986,4,7,9,9182
987,4,6,8,21412
988,5,7,8,15003
989,6,9,10,17637
990,9,5,6,7323
991,7,8,9,17981
992,8,10,9,14783
993,8,6,7,4427
994,7,9,10,6105
995,6,7,8,9266
996,,,,
997,,,,
