word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
15,He consumed an excess of calories.,Spożył nadwyżkę kalorii.,The company has an excess of inventory.,"More than what is necessary or desired. Can be used to describe food, weight, or spending."
16,I love to eat grilled prawns.,Uwielbiam jeść grillowane krewetki.,She ordered a plate of prawns for dinner.,A small edible crustacean. Often used in cooking.
17,Rinse the dishes before putting them in the dishwasher.,Wypłucz naczynia przed włożeniem ich do zmywarki.,She rinsed her hair with cold water.,To wash with water without soap. Can be used to describe hair or dishes.
18,Obesity is a major health concern.,Otyłość jest poważnym problemem zdrowotnym.,The country has seen a rise in obesity rates in recent years.,The state of being excessively overweight.
19,She wore pointed shoes.,Miała na sobie buty o ostro zakończonych czubkach.,The arrow had a pointed tip.,Sharp or tapered at the end. Can be used to describe objects or features of a person's appearance.
20,It's sensible to save some money for emergencies.,"Rozsądne jest, aby odłożyć trochę pieniędzy na wypadek nagłych sytuacji.",She made a sensible decision to invest in her education.,Showing good judgment and practicality. Can be used to describe decisions or behavior.
21,He was idle all day.,Cały dzień był bezczynny.,Idle hands are the devil's workshop.,Not active or in use. Can be used to describe a machine or a person.
22,Her occupation is a doctor.,Jej zawód to lekarz.,He's looking for a new occupation.,A person's job or profession.
23,Don't omit any details.,Nie pomijaj żadnych szczegółów.,She accidentally omitted his name from the list.,To leave out or exclude something. Can be used in writing or speech.
24,She sewed a thread onto the fabric.,Przyszyła nitkę do materiału.,I lost the thread of the conversation.,"A long, thin strand used for sewing or weaving. Can be used literally or metaphorically, such as a common theme in a conversation or story."
25,She scolded her child for misbehaving.,Nakrzyczała na swoje dziecko za złe zachowanie.,The teacher scolded the students for being late.,To criticize or reprimand someone harshly. Often used to express disapproval or dissatisfaction.
26,He gave out handouts to the class.,Rozdał materiały nauczycielskie klasie.,The organization provided handouts to the homeless.,A distributed document or piece of information. Can be used in education or business settings.
27,She earns a good wage.,Zarabia dobrą pensję.,The company decided to raise wages for its employees.,Payment for work or services rendered. Can be used to describe hourly or monthly wages.
28,The lorry was carrying a load of bricks.,Ciężarówka przewoziła ładunek cegieł.,The lorry driver was fined for speeding.,"A large, heavy motor vehicle used for transporting goods or materials."
29,She pulled the duvet over her head.,Przyciągnęła kołdrę na swoją głowę.,The hotel room had a fluffy duvet on the bed.,"A soft, quilted blanket filled with feathers, down, or synthetic materials."
30,The significance of this discovery cannot be overstated.,Istotność tego odkrycia nie może być przeceniona.,The results of the study hold great significance for the medical field.,The importance or meaning of something. Can be used to describe events or concepts.
31,The air was humid.,Powietrze było wilgotne.,The humid weather made it hard to breathe.,Having a high level of moisture in the air or environment.
32,Please enclose a copy of your resume.,Proszę dołączyć kopię swojego CV.,The letter enclosed a check for $100.,To include or contain something within something else. Can be used in writing or packaging.
33,He folded the laundry.,On złożył pranie.,She carefully folded the paper to fit it in the envelope.,"To bend or crease something in a specific way. Can be used in clothing, paper, or other materials."
34,She had an odd feeling.,Miała dziwne uczucie.,The odd shape of the building caught our attention.,"Strange or unusual. Can be used to describe behavior, situations, or objects."
35,We went on a Caribbean cruise.,Pojechaliśmy na rejs po Karaibach.,The ship will cruise around the Mediterranean for two weeks.,A leisurely journey on a ship or boat. Often used for vacation or tourism.
36,He had his broken watch fixed.,On naprawił swoje zepsute zegarek.,She decided to get her dog fixed to prevent any unwanted litters.,Firmly in position or resolved. Can be used to describe a physical object or a decision.
37,She put her luggage in the trunk.,Ona umieściła swoje bagaże w bagażniku.,He accidentally left his keys in the trunk of the car.,A storage compartment in a car or airplane. Can be used to transport luggage or equipment.
38,The conditioning of the room was excellent.,Warunkowanie pokoju było doskonałe.,The athlete's conditioning allowed him to perform at a high level.,The process of training or modifying behavior through repeated experiences. Can be used in psychology or sports.
39,She gave an outstanding performance.,Ona dała wybitny występ.,The company is known for its outstanding customer service.,"Exceptional or noteworthy. Can be used to describe achievements, performance, or qualities."
40,The region is experiencing a severe drought.,Region doświadcza poważnej suszy.,The drought has caused crops to wither and die.,"A prolonged period of little or no rainfall, causing a shortage of water."
41,"The first step is to gather all the necessary materials. Thus, we can begin the project.",Pierwszym krokiem jest zebranie wszystkich niezbędnych materiałów. A zatem możemy zacząć projekt.,She was running late and thus missed her train.,As a result or consequently. Often used to connect ideas or actions.
42,The company plans to overtake its competitors.,Firma planuje przejąć swoich konkurentów.,He overtook the lead in the race on the final lap.,To take over or surpass someone or something. Often used in business or sports.
43,She's a talented cellist.,Ona jest utalentowaną wiolonczelistką.,The orchestra is looking for a new cellist to join its ranks.,A musician who plays the cello.
44,"Eventually, everything worked out.",Ostatecznie wszystko się udało.,She eventually became a successful businesswoman.,"At some point in the future, after a long period of time or many changes."
45,"The prefix ""un-"" means ""not"".","Przedrostek ""un-"" oznacza ""nie"".",Please add the prefix to the beginning of the word.,A group of letters added to the beginning of a word to change its meaning or form.
46,"Altogether, it was a great day.","Ogólnie rzecz biorąc, to był wspaniały dzień.","She added up the total cost of the trip, which came to $1,500 altogether.",Completely or entirely. Often used to summarize or describe a group of things or actions.
47,The movie was fairly good.,Film był całkiem dobry.,She fairly divided the cookies among the children.,To a moderate or reasonable extent. Can be used to describe an amount or degree.
48,She wore a casual outfit.,Miała na sobie nieformalny strój.,"The party has a casual dress code, so you don't need to wear a suit.",Relaxed or informal in style or manner. Can be used to describe clothing or behavior.
49,She got a nice suntan on her vacation.,Uzyskała ładną opaleniznę podczas urlopu.,He likes to lie in the sun to get a suntan.,Darkening of the skin due to exposure to the sun.
50,It's a custom to give gifts during the holidays.,"To zwyczaj, żeby dawać prezenty podczas świąt.",The custom of shaking hands is common in many cultures.,A traditional practice or behavior within a particular society or group.
51,She was willing to help.,Była chętna do pomocy.,He's not willing to compromise on the deal.,Ready or eager to do something. Can be used to describe a person's attitude or behavior.
52,She suffers from anxiety.,Cierpi na lęki.,The anxiety of the situation made it hard to concentrate.,"A feeling of worry, nervousness, or unease. Can be caused by stress or uncertainty."
53,She boiled water in the kettle.,Zagotowała wodę w czajniku.,He poured the hot water from the kettle into the teapot.,A container with a spout used for boiling water.
54,She worked as a clerk in a store.,Pracowała jako sprzedawca w sklepie.,The clerk helped the customer find the right size.,"A person who works in an office or store, performing administrative or sales tasks."
55,The room was vacant.,Pokój był pusty.,She was excited to move into her new vacant apartment.,"Empty or unoccupied. Can be used to describe a room, seat, or job position."
56,She turned left at the junction.,Skręciła w lewo na skrzyżowaniu.,The accident happened at the busy junction during rush hour.,"A point where two or more things come together, often used to describe a road intersection."
57,The soil was rich and fertile.,Gleba była bogata i żyzna.,The farmer had to till the soil before planting the crops.,The top layer of earth in which plants grow.
58,There were roughly 50 people at the party.,Na przyjęciu było około 50 osób.,The meeting will last roughly two hours.,"Approximately or nearly. Can be used to describe a number, time, or amount."
59,Please don't litter the park.,Proszę nie śmiecić w parku.,The beach was covered in litter after the Fourth of July celebration.,"Waste materials or garbage, often left in public spaces."
60,The punctuation in this sentence is incorrect.,Interpunkcja w tym zdaniu jest niepoprawna.,Proper punctuation can make a big difference in the clarity of a message.,The use of symbols or marks to clarify the meaning and structure of written language.
61,He used the oar to row the boat.,"Użył wiosła, żeby popłynąć łodzią.",She grabbed an oar and started paddling.,A long pole used for rowing a boat.
62,The teacher's tone was harsh.,Ton nauczyciela był ostry.,The harsh winter weather made driving difficult.,"Rough or unpleasant in tone or texture. Can be used to describe a voice, criticism, or weather."
63,There are consequences to every decision.,Każda decyzja ma swoje konsekwencje.,The consequence of not studying for the exam was failing.,The result or effect of an action or decision. Can be positive or negative.
64,The results of the study were significant.,Wyniki badania były istotne.,The new evidence could have a significant impact on the outcome of the trial.,"Important or meaningful. Can be used to describe a discovery, event, or impact."
65,The bride and bridegroom looked happy.,Panna młoda i pan młody wyglądali szczęśliwie.,The bride and bridegroom exchanged vows in front of their family and friends.,A man on his wedding day.
66,"The conjunction ""and"" connects two words.","Spójnik ""i"" łączy dwa słowa.","The use of the conjunction ""but"" indicates a contrast.","A word used to connect clauses or sentences. Examples include ""and,"" ""but,"" and ""or."""
67,She ate sushi with chopsticks.,Jadała sushi pałeczkami.,He was having trouble using chopsticks to eat his noodles.,"Small, thin sticks used for eating food, often used in Asian cultures."
68,Attendance is mandatory.,Obecność jest obowiązkowa.,The teacher took attendance at the beginning of class.,"The act of being present, especially in a formal setting like school or work."
69,He emphasized the importance of teamwork.,Podkreślił znaczenie pracy zespołowej.,She used bold letters to emphasize the key points in her presentation.,To give special importance or attention to something. Can be used in writing or speech.
70,She bought several apples at the store.,Kupiła kilka jabłek w sklepie.,I've been to that city several times.,"A small number of something. Can be used to describe objects, people, or actions."
71,He had loads of books to carry.,Miał masę książek do przeniesienia.,She had loads of fun at the amusement park.,A large amount or quantity of something. Can be used to describe physical objects or concepts.
72,The hotel will provide towels for the guests.,Hotel dostarczy ręczniki dla gości.,The school will provide transportation for the field trip.,To supply or make available something that is needed or requested. Can be used in a variety of contexts.
73,The dress has a floral pattern.,Sukienka ma wzór kwiatowy.,She used a pattern to sew a dress for her daughter.,"A repeated design or sequence of shapes or colors. Can be used in textiles, art, or behavior."
74,The tree cast a shadow on the lawn.,Drzewo rzuciło cień na trawnik.,The actor was cast as the lead in the new movie.,"To throw or project something, such as a shadow or a spell."
75,The couch is designed for comfort.,Kanapa jest zaprojektowana z myślą o wygodzie.,The warm blanket provided her with comfort on the cold night.,"A state of physical or emotional ease and relaxation. Can be provided by objects, activities, or people."
76,The construction workers were doing heavy labour.,Robotnicy budowlani wykonywali ciężką pracę.,She went into labour in the middle of the night.,Physical or mental work that is difficult or demanding. Can be used to describe a job or a specific task.
77,The coach will encourage his players to do their best.,"Trener będzie zachęcał swoich zawodników, aby dali z siebie wszystko.",She encouraged her son to try new things and take risks.,To give support or motivation to someone to do something. Can be used in personal or professional settings.
78,She wrapped the gift in colorful paper.,Owijała prezent w kolorowy papier.,He wrapped a scarf around his neck to keep warm in the cold weather.,"To cover or enclose something with a material, such as paper or cloth. Can be used for protection, storage, or presentation."
79,There was a gradual increase in the temperature.,Był stopniowy wzrost temperatury.,She made a gradual transition to a healthier lifestyle.,Happening or changing slowly over time. Can be used to describe a process or a trend.
80,He is the chief of the company.,On jest szefem firmy.,The chief concern of the company is customer satisfaction.,A leader or the most important person in an organization or group. Can be used in business or politics.
81,The store offers a variety of products.,Sklep oferuje różnorodność produktów.,"She enjoys a variety of foods, from spicy to sweet.","A range of different types or forms of something. Can be used to describe food, entertainment, or people."
82,He proposed to her during their engagement.,Oświadczył się do niej podczas ich zaręczyn.,They celebrated their engagement with a party.,A formal agreement to get married. Can also refer to involvement or participation in a particular activity or event.
83,She is seeking a new job.,Szuka nowej pracy.,He sought advice from his mentor before making a decision.,"To try to find or discover something. Can be used to describe a search for information, resources, or people."
84,She is capable of finishing the project on time.,Ona jest zdolna do ukończenia projektu na czas.,The team is confident that they are capable of winning the championship.,Having the ability or skill to do something. Can be used to describe a person's talent or potential.
85,She had a puncture in her bike tire.,Miała nakłucie w oponie swojego roweru.,He used a needle to puncture the balloon.,A small hole or wound caused by a sharp object. Can be used to describe a medical condition or a flat tire.
86,His income comes from his job and his investments.,Jego dochód pochodzi z pracy i inwestycji.,She had to report her income to the government for tax purposes.,The money earned from work or investments. Can be used to describe personal or business finances.
87,She opened the tin of cookies.,Otworzyła puszkę ciastek.,He used a tin to store his tools in the garage.,A metal container used for storing or preserving food or other materials.
88,The city has many beautiful sights.,Miasto ma wiele pięknych widoków.,They visited all of the major sights during their trip.,Interesting or notable things to see in a particular place. Can be used to describe tourist attractions or natural scenery.
89,The disease occurs more frequently in older adults.,Choroba występuje częściej u starszych osób.,The problem didn't occur until later in the project.,"To happen or take place. Can be used to describe events, phenomena, or patterns."
90,She had to convert the measurements from metric to US.,Musiała przekonwertować miary z metrycznych na amerykańskie.,He used software to convert the file into a different format.,"To change something from one form or state to another. Can be used in technology, religion, or finance."
91,She forbids her children from watching TV after 8 pm.,Ona zabrania swoim dzieciom oglądania telewizji po godzinie 20.,The sign forbids parking on the street during rush hour.,To prohibit or prevent something from happening or being done. Can be used to describe rules or laws.
92,The tomatoes are grown in a greenhouse.,Pomidory są uprawiane w szklarni.,She visited a greenhouse to learn about different types of plants.,A structure made of glass or plastic used for growing plants in a controlled environment.
93,The weather is pleasant today.,Dzisiaj jest przyjemna pogoda.,She had a pleasant conversation with her neighbor.,"Giving a sense of enjoyment or satisfaction. Can be used to describe experiences, people, or weather."
94,The view from the top of the mountain was marvellous.,Widok z góry na szczyt był cudowny.,She had a marvellous time at the concert.,"Causing wonder or amazement. Can be used to describe something that is impressive, extraordinary, or delightful."
95,The importance of exercise cannot be overstated.,Istotność ćwiczeń nie może być przeceniona.,He stressed the importance of teamwork in achieving success.,"The quality of being significant or essential. Can be used to describe ideas, values, or events."
96,The company's management team is very experienced.,Zespół zarządzający firmą jest bardzo doświadczony.,She is studying management in order to advance her career.,"The process of controlling or organizing people, resources, or activities to achieve a goal. Can be used in business or government."
97,She walked along the footpath next to the river.,Przeszła chodnikiem obok rzeki.,He tripped on the uneven footpath and fell down.,"A path for pedestrians, usually separate from the road."
98,She showed kindness to the homeless person on the street.,Okazała dobro bezdomnej osobie na ulicy.,His kindness towards his coworkers earned him their respect.,"The quality of being friendly, generous, or considerate. Can be used to describe actions or attitudes."
99,She used a diagram to explain the concept.,"Użyła diagramu, aby wyjaśnić pojęcie.",The diagram shows the various parts of the engine.,"A visual representation of information or data. Can be used in education, science, or technology."
100,She pulled the weeds from the garden.,Wyrywała chwasty z ogrodu.,He used weed killer to get rid of the weeds in his lawn.,"A plant considered undesirable or unattractive, often growing wild in gardens or fields. Can be harmful to crops or other plants."
101,The scenery in the mountains was breathtaking.,Krajobraz w górach był zapierający dech w piersiach.,The movie's scenery transported the audience to a different world.,"The natural or artificial features of a landscape, viewed in terms of their appearance. Can be used to describe the view from a location, or the background in a movie or play."
102,She will perform in the play next week.,Zagra w przedstawieniu w przyszłym tygodniu.,The band will perform their new song at the concert.,"To carry out a task, duty, or action, especially on a public stage or in front of an audience. Can be used to describe music, theater, or public speaking."
103,They settled the dispute out of court.,Rozwiązali spór poza sądem.,She decided to settle in the small town and make it her home.,To resolve a dispute or come to an agreement. Can also mean to establish oneself in a new place or to become calm and peaceful.
104,"Luckily, they were able to catch the train on time.","Szczęśliwie, zdążyli na czas na pociąg.","Luckily, no one was hurt in the car accident.",By chance or by good fortune. Can be used to describe a fortunate event or outcome.
105,He works for an overseas company.,Pracuje dla zagranicznej firmy.,She studied overseas for a semester and had a great experience.,"In or to a foreign country, especially one that is across a sea or ocean. Can be used to describe travel, business, or military operations."
106,She practiced her pronunciation by listening to recordings.,Ćwiczyła swoją wymowę słuchając nagrań.,He struggled with the pronunciation of the difficult words.,"The way in which a word is pronounced or spoken, including the sounds and stress patterns used."
107,The convenience of online shopping is undeniable.,Wygoda zakupów online jest niezaprzeczalna.,"He chose the hotel for its convenience, as it was located near the airport.","The state of being convenient or easy to use. Can be used to describe a product, service, or location."
108,The shepherd led the sheep into the pen.,Pasterz poprowadził owce do zagrody.,The shepherd's dog helped him herd the sheep.,A person who herds and tends to sheep. Can be used to describe a traditional occupation or a religious metaphor.
109,The aircraft took off on time.,Samolot wystartował o czasie.,She was fascinated by the size of the aircraft.,"A vehicle that can fly, such as an airplane or helicopter."
110,The country is facing a severe recession.,Kraj boryka się z poważną recesją.,The company had to lay off many employees during the recession.,"A period of economic decline, typically characterized by a decrease in Gross Domestic Product (GDP) and high unemployment rates."
111,The team was split into two divisions.,Zespół został podzielony na dwie sekcje.,The division between the two groups was clear from the beginning.,"The act of dividing or separating something into parts or groups. Can be used to describe mathematics, business, or social issues."
112,The teacher was very strict with her students.,Nauczycielka była bardzo surowa wobec swoich uczniów.,The company has a strict policy against harassment in the workplace.,"Demanding precise adherence to rules or regulations. Can be used to describe a teacher, parent, or boss."
113,He was honoured with a medal for his bravery.,Został uhonorowany medalem za swoją odwagę.,It was a great honour for her to be invited to speak at the conference.,To show respect or admiration for someone or something. Can be used to describe an award or a tradition.
114,She is pursuing a postgraduate degree in psychology.,Studiuje na kierunku podyplomowym psychologii.,He earned his postgraduate degree in business administration.,"A student who has completed a bachelor's degree and is pursuing further education, such as a master's or doctoral degree."
115,She combined the ingredients to make a delicious meal.,"Połączyła składniki, aby przygotować pyszny posiłek.",The artist used a unique combination of colors in her painting.,"To bring two or more things together to form a single entity. Can be used to describe agriculture, chemistry, or business."
116,She was paid extra for working overtime.,Otrzymała dodatkową zapłatę za pracę po godzinach.,He had to work overtime to finish the project on time.,"The extra time worked beyond regular working hours, often compensated with additional pay."
117,They planned a weekend getaway to the mountains.,Zaplanowali krótki wypad w góry na weekend.,The couple enjoyed their romantic getaway at the beach.,A short vacation or escape from routine or stress.
118,She ordered a pizza takeaway for dinner.,Zamówiła pizzę na wynos na kolację.,He grabbed a quick takeaway on his way to the airport.,Food or drink that is prepared and intended to be consumed away from the place of purchase.
119,The news of his death depressed her.,Wieść o jego śmierci przygnębiła ją.,The rainy weather always seemed to depress her mood.,To make someone feel sad or hopeless. Can be used to describe mental health or economic conditions.
120,He made a significant advance in his career.,Dokonał znacznego postępu w swojej karierze.,The company is offering advance tickets to its customers.,To move forward in development or progress. Can also mean to give someone a higher rank or position.
121,It is customary to tip the waiter.,Zwyczajowo daje się napiwek kelnerowi.,It's customary for the bride and groom to exchange rings at the wedding ceremony.,"Conforming to or reflecting a common practice or tradition. Can be used to describe clothing, food, or social behavior."
122,The company has a worldwide presence.,Firma ma obecność na całym świecie.,The movie was released in theaters worldwide.,"Covering or affecting the whole world. Can be used to describe a phenomenon, organization, or event."
123,The lumberjack chopped the log into pieces.,Drwal pociął kłodę na kawałki.,She kept a log of her daily activities in a journal.,A segment of a tree trunk or a record of events kept in chronological order.
124,What is the current exchange rate?,Jaki jest obecny kurs wymiany walut?,The current political climate is very tense.,"Belonging to the present time; happening or existing now. Can be used to describe events, trends, or ideas."
125,She is engaged to be married.,Ona jest zaręczona.,The company is engaged in research and development of new technologies.,Busy or occupied with a particular activity or person. Can be used to describe a romantic relationship or a business project.
126,He is a self-made millionaire.,On jest samoukiem milionerem.,She is a strong believer in self-improvement.,The individual person as the subject of his or her own consciousness and experience. Can be used to describe personal identity or psychology.
127,The city needs to improve its public transportation system.,Miasto musi poprawić swoją sieć transportu publicznego.,He works in transportation and logistics for a shipping company.,"The act of moving people or goods from one place to another. Can be used to describe vehicles, infrastructure, or logistics."
128,What does this word mean?,Co to słowo oznacza?,The mean score on the test was 75%.,"To have as a purpose or intention, or the average of a set of numbers. Can also mean cruel or unkind."
129,He has been training for a boxing match.,On trenuje do meczu bokserskiego.,The boxing champion defended his title for the third time.,A sport in which two competitors wearing gloves punch each other in a ring.
130,The company has experienced significant growth in sales.,Firma doświadczyła znaczącego wzrostu w sprzedaży.,The growth of the economy has been slow this year.,"The process of increasing in physical size, quantity, or complexity. Can be used to describe a plant, organization, or economy."
131,He declared his love for her.,Oświadczył jej swoją miłość.,The company must declare its income and expenses to the tax authorities.,"To make a formal or explicit statement about something, often publicly or officially."
132,The voyage lasted two weeks.,Podróż morska trwała dwa tygodnie.,The sailors encountered a storm during their voyage across the Atlantic.,A long journey by sea or in space. Can be used to describe historical exploration or science fiction.
133,She found the job to be very tiring.,Praca okazała się bardzo męcząca dla niej.,The long flight was very tiring and she was glad when it was over.,Causing fatigue or weariness. Can be used to describe physical or mental effort.
134,The scale of the problem was much larger than they thought.,"Skala problemu okazała się być dużo większa, niż przypuszczali.",The map showed the scale of the mountain range.,"A graduated range of values or measurements. Can be used to describe size, importance, or degree."
135,The North Pole is covered in ice.,Biegun północny jest pokryty lodem.,The flag was attached to the pole and raised to the top of the building.,"A long, slender, usually cylindrical object, often used for support or as a marker. Can be used to describe geography or construction."
136,She has a degree in fine arts.,Ma stopień naukowy z dziedziny sztuk pięknych.,The arts play an important role in the cultural life of the city.,"The expression or application of human creative skill and imagination, typically in a visual or auditory medium."
137,The suitcase was packed full of clothes.,Walizka była zapakowana po brzegi ubraniami.,The train was so packed that they had to stand the whole way.,"Filled to capacity or crowded with people or things. Can be used to describe transportation, events, or storage."
138,"He made the same mistake twice, but it was just a repetition.","Popełnił ten sam błąd dwa razy, ale to była tylko powtórka.",The teacher emphasized the importance of repetition in language learning.,"The act or process of repeating something that has already been said or done. Can be used to describe learning, music, or literature."
139,She gave a dictation to her students.,Dała swoim uczniom dyktando.,The secretary took dictation from her boss and typed it up in a report.,The act or process of speaking or reading aloud for someone else to transcribe or write down. Can be used to describe a language learning exercise or secretarial work.
140,She found a bargain at the flea market.,Znalazła okazję na pchlim targu.,They were able to bargain for a lower price on the car.,"An agreement between two or more parties for mutual benefit, often involving the exchange of goods or services. Can also refer to a good deal or a discount."
141,He found an old cassette in the attic.,Znalazł starą kasetę na strychu.,She used to listen to her favorite music on cassette tapes.,"A small, flat, rectangular container for magnetic tape, used for audio or video recording or playback."
142,The drop of water fell from the faucet.,Kropla wody spadła z kranu.,She put a drop of lemon juice in her tea.,"A small quantity of liquid that falls or is produced in a more or less spherical mass. Can be used to describe rain, tears, or medicine."
143,The medicine can induce drowsiness.,Lek może wywoływać senność.,The hypnotist tried to induce a trance-like state in his patient.,"To bring about or give rise to something, often by persuasion or influence. Can be used to describe emotions, behavior, or chemical reactions."
144,He made a voluntary donation to the charity.,Dokonał dobrowolnej darowizny na cele charytatywne.,The company offers a voluntary retirement plan for its employees.,"Done, given, or acting of one's own free will, without payment or obligation. Can be used to describe charity work, military service, or participation in a study."
145,There was a moth flying around the room.,W pokoju latała ćma.,The moth was attracted to the light.,"A nocturnal insect with broad wings that are typically held flat when resting, and larvae that are usually caterpillars."
146,He vowed to avenge his friend's death.,Przysiągł pomścić śmierć swojego przyjaciela.,The hero vowed to avenge the murder of his parents.,"To inflict harm in return for a wrong or injury suffered, often in the name of justice or retribution."
147,They reached the summit of the mountain.,Dotarli na szczyt góry.,The leaders discussed climate change at the summit.,"The highest point of a hill or mountain, or a meeting between the leaders of two or more countries. Can be used to describe politics, diplomacy, or outdoor activities."
148,I don't know whether I should go or stay.,"Nie wiem, czy powinienem iść, czy zostać.","Whether we like it or not, technology is changing the way we live.",Expressing a doubt or choice between alternatives.
149,He was engaged in a conversation with his colleagues.,Angażował się w rozmowę ze swoimi kolegami.,The company tries to engage its employees in decision-making processes.,"To occupy, attract, or involve someone's interest or attention. Can be used to describe a conversation, a hobby, or a job."
150,She was resorting to desperate measures to save her business.,"Uciekała się do desperackich środków, aby uratować swoją firmę.",The company was resorting to layoffs in order to cut costs.,"Turning to a course of action, especially an extreme or undesirable one, in order to achieve a result. Can be used to describe problem-solving or conflict resolution."
151,"She was determined to succeed, whatever it takes.","Była zdeterminowana, żeby osiągnąć sukces, za wszelką cenę.",The team was willing to do whatever it takes to win the championship.,"Doing everything necessary to achieve a goal or solve a problem, regardless of the cost or difficulty."
152,The artist wanted to actualize her vision in her artwork.,Artystka chciała urzeczywistnić swoją wizję w swojej sztuce.,The company's goal was to actualize its mission statement.,"To make a concept or idea into a reality or concrete form. Can be used to describe creativity, entrepreneurship, or personal growth."
153,He was trying to find a safe disposal method for the hazardous waste.,Szukał bezpiecznej metody pozbycia się niebezpiecznych odpadów.,The factory had to find a proper disposal site for its toxic waste.,"The act or process of getting rid of something, often by throwing it away or selling it. Can be used to describe waste management or asset liquidation."
154,The noise was interfering with her concentration.,Hałas przeszkadzał jej w skupieniu.,The IT department had to investigate why the new software was interfering with the company's network.,"To get in the way of or obstruct something, often causing problems or delays. Can be used to describe communication, relationships, or machinery."
155,Her little brother could be a real brat sometimes.,Jej młodszy brat potrafił być czasami prawdziwym bachorem.,The brat was always causing trouble for his parents.,"A younger brother or annoying, mischievous, or difficult child."
156,She had to hold back her tears during the sad movie.,Musiała powstrzymać łzy podczas smutnego filmu.,He had to hold back his anger during the argument.,"To keep someone or something from moving or acting, often to prevent harm or damage. Can be used to describe emotions, ideas, or physical objects."
157,You ought to study for the test if you want to do well.,"Powinieneś się uczyć na egzamin, jeśli chcesz dobrze zdać.",The students ought to follow the school rules.,"Used to indicate duty or obligation, often followed by an infinitive verb. Can be used to express a moral or social expectation."
158,His parents were very indulgent with him when he was growing up.,"Jego rodzice byli bardzo pobłażliwi wobec niego, gdy dorastał.",The teacher was accused of being too indulgent with her students.,"Having a tendency to be overly generous or permissive, often with regard to one's own desires or the desires of others. Can be used to describe parenting, management, or personal habits."
159,The city was experiencing an increase in incivilities in public spaces.,Miasto doświadczało wzrostu nieuprzejmości w miejscach publicznych.,The incivilities in the park were making people feel unsafe.,"Acts or statements that show a lack of politeness or respect for others, often causing offense or discomfort. Can be used to describe behavior in public spaces or social situations."
160,The judge was known for being lenient towards first-time offenders.,Sędzia był znany z bycia pobłażliwym wobec recydywistów.,The school had to review its disciplinary policy because some thought it was too lenient.,"Mild or tolerant in disposition or action, often with regard to punishment or criticism. Can be used to describe judicial systems, parenting, or management."
161,She gave his proposal serious consideration before making a decision.,Przemyślała poważnie jego propozycję przed podjęciem decyzji.,The company took into consideration the feedback from its customers before launching a new product.,"Careful thought or attention given to a matter or decision, often taking into account various factors or perspectives. Can be used to describe negotiation, problem-solving, or ethics."
162,He would rather stay home than go to the party.,On raczej zostałby w domu niż iść na imprezę.,I'd rather not discuss politics at the dinner table.,"To a certain extent or degree, often indicating a preference or inclination. Can be used to express hesitation, politeness, or emphasis."
163,"It was merely a suggestion, not a requirement.","To była jedynie sugestia, nie wymaganie.","The issue was not merely a matter of policy, but a matter of principle.","Only or simply, often indicating a lack of importance or significance. Can be used to express disappointment or disapproval."
